nombre,secretaria.nombre,dependencia.nombre,atencion[0].direccion,atencion[1].direccion,atencion[2].direccion,atencion[3].direccion,atencion[4].direccion,atencion[5].direccion,atencion[6].direccion,atencion[7].direccion,atencion[8].direccion,atencion[9].direccion,atencion[10].direccion,atencion[11].direccion,atencion[12].direccion,atencion[13].direccion,atencion[14].direccion,atencion[15].direccion,atencion[16].direccion,atencion[17].direccion,atencion[18].direccion,atencion[19].direccion,atencion[20].direccion,atencion[21].direccion,atencion[22].direccion,atencion[23].direccion,atencion[24].direccion,atencion[25].direccion,atencion[26].direccion,atencion[27].direccion,atencion[28].direccion,atencion[29].direccion,atencion[30].direccion,atencion[31].direccion,atencion[32].direccion,atencion[33].direccion,atencion[34].direccion,atencion[35].direccion,atencion[36].direccion,atencion[37].direccion,atencion[38].direccion,atencion[39].direccion,atencion[40].direccion,atencion[41].direccion,atencion[42].direccion,atencion[43].direccion,atencion[44].direccion,atencion[45].direccion,atencion[46].direccion,atencion[47].direccion,atencion[48].direccion,atencion[49].direccion,atencion[50].direccion,atencion[51].direccion,atencion[52].direccion,atencion[53].direccion,atencion[54].direccion,atencion[55].direccion,atencion[56].direccion,atencion[57].direccion,atencion[58].direccion,atencion[59].direccion,atencion[60].direccion,atencion[61].direccion,atencion[62].direccion,atencion[63].direccion,atencion[64].direccion,atencion[65].direccion,atencion[66].direccion,atencion[67].direccion,atencion[68].direccion,atencion[69].direccion,atencion[70].direccion,atencion[71].direccion,atencion[72].direccion,atencion[73].direccion,atencion[74].direccion,atencion[75].direccion,atencion[76].direccion,atencion[77].direccion,atencion[78].direccion,atencion[79].direccion,atencion[80].direccion,atencion[81].direccion,atencion[82].direccion,atencion[83].direccion,atencion[84].direccion,atencion[0].coordenadas.coordinates[0],atencion[0].coordenadas.coordinates[1],atencion[1].coordenadas.coordinates[0],atencion[1].coordenadas.coordinates[1],atencion[2].coordenadas.coordinates[0],atencion[2].coordenadas.coordinates[1],atencion[3].coordenadas.coordinates[0],atencion[3].coordenadas.coordinates[1],atencion[4].coordenadas.coordinates[0],atencion[4].coordenadas.coordinates[1],atencion[5].coordenadas.coordinates[0],atencion[5].coordenadas.coordinates[1],atencion[6].coordenadas.coordinates[0],atencion[6].coordenadas.coordinates[1],atencion[7].coordenadas.coordinates[0],atencion[7].coordenadas.coordinates[1],atencion[8].coordenadas.coordinates[0],atencion[8].coordenadas.coordinates[1],atencion[9].coordenadas.coordinates[0],atencion[9].coordenadas.coordinates[1],atencion[10].coordenadas.coordinates[0],atencion[10].coordenadas.coordinates[1],atencion[11].coordenadas.coordinates[0],atencion[11].coordenadas.coordinates[1],atencion[12].coordenadas.coordinates[0],atencion[12].coordenadas.coordinates[1],atencion[13].coordenadas.coordinates[0],atencion[13].coordenadas.coordinates[1],atencion[14].coordenadas.coordinates[0],atencion[14].coordenadas.coordinates[1],atencion[15].coordenadas.coordinates[0],atencion[15].coordenadas.coordinates[1],atencion[16].coordenadas.coordinates[0],atencion[16].coordenadas.coordinates[1],atencion[17].coordenadas.coordinates[0],atencion[17].coordenadas.coordinates[1],atencion[18].coordenadas.coordinates[0],atencion[18].coordenadas.coordinates[1],atencion[19].coordenadas.coordinates[0],atencion[19].coordenadas.coordinates[1],atencion[20].coordenadas.coordinates[0],atencion[20].coordenadas.coordinates[1],atencion[21].coordenadas.coordinates[0],atencion[21].coordenadas.coordinates[1],atencion[22].coordenadas.coordinates[0],atencion[22].coordenadas.coordinates[1],atencion[23].coordenadas.coordinates[0],atencion[23].coordenadas.coordinates[1],atencion[24].coordenadas.coordinates[0],atencion[24].coordenadas.coordinates[1],atencion[25].coordenadas.coordinates[0],atencion[25].coordenadas.coordinates[1],atencion[26].coordenadas.coordinates[0],atencion[26].coordenadas.coordinates[1],atencion[27].coordenadas.coordinates[0],atencion[27].coordenadas.coordinates[1],atencion[28].coordenadas.coordinates[0],atencion[28].coordenadas.coordinates[1],atencion[29].coordenadas.coordinates[0],atencion[29].coordenadas.coordinates[1],atencion[30].coordenadas.coordinates[0],atencion[30].coordenadas.coordinates[1],atencion[31].coordenadas.coordinates[0],atencion[31].coordenadas.coordinates[1],atencion[32].coordenadas.coordinates[0],atencion[32].coordenadas.coordinates[1],atencion[33].coordenadas.coordinates[0],atencion[33].coordenadas.coordinates[1],atencion[34].coordenadas.coordinates[0],atencion[34].coordenadas.coordinates[1],atencion[35].coordenadas.coordinates[0],atencion[35].coordenadas.coordinates[1],atencion[36].coordenadas.coordinates[0],atencion[36].coordenadas.coordinates[1],atencion[37].coordenadas.coordinates[0],atencion[37].coordenadas.coordinates[1],atencion[38].coordenadas.coordinates[0],atencion[38].coordenadas.coordinates[1],atencion[39].coordenadas.coordinates[0],atencion[39].coordenadas.coordinates[1],atencion[40].coordenadas.coordinates[0],atencion[40].coordenadas.coordinates[1],atencion[41].coordenadas.coordinates[0],atencion[41].coordenadas.coordinates[1],atencion[42].coordenadas.coordinates[0],atencion[42].coordenadas.coordinates[1],atencion[43].coordenadas.coordinates[0],atencion[43].coordenadas.coordinates[1],atencion[44].coordenadas.coordinates[0],atencion[44].coordenadas.coordinates[1],atencion[45].coordenadas.coordinates[0],atencion[45].coordenadas.coordinates[1],atencion[46].coordenadas.coordinates[0],atencion[46].coordenadas.coordinates[1],atencion[47].coordenadas.coordinates[0],atencion[47].coordenadas.coordinates[1],atencion[48].coordenadas.coordinates[0],atencion[48].coordenadas.coordinates[1],atencion[49].coordenadas.coordinates[0],atencion[49].coordenadas.coordinates[1],atencion[50].coordenadas.coordinates[0],atencion[50].coordenadas.coordinates[1],atencion[51].coordenadas.coordinates[0],atencion[51].coordenadas.coordinates[1],atencion[52].coordenadas.coordinates[0],atencion[52].coordenadas.coordinates[1],atencion[53].coordenadas.coordinates[0],atencion[53].coordenadas.coordinates[1],atencion[54].coordenadas.coordinates[0],atencion[54].coordenadas.coordinates[1],atencion[55].coordenadas.coordinates[0],atencion[55].coordenadas.coordinates[1],atencion[56].coordenadas.coordinates[0],atencion[56].coordenadas.coordinates[1],atencion[57].coordenadas.coordinates[0],atencion[57].coordenadas.coordinates[1],atencion[58].coordenadas.coordinates[0],atencion[58].coordenadas.coordinates[1],atencion[59].coordenadas.coordinates[0],atencion[59].coordenadas.coordinates[1],atencion[60].coordenadas.coordinates[0],atencion[60].coordenadas.coordinates[1],atencion[61].coordenadas.coordinates[0],atencion[61].coordenadas.coordinates[1],atencion[62].coordenadas.coordinates[0],atencion[62].coordenadas.coordinates[1],atencion[63].coordenadas.coordinates[0],atencion[63].coordenadas.coordinates[1],atencion[64].coordenadas.coordinates[0],atencion[64].coordenadas.coordinates[1],atencion[65].coordenadas.coordinates[0],atencion[65].coordenadas.coordinates[1],atencion[66].coordenadas.coordinates[0],atencion[66].coordenadas.coordinates[1],atencion[67].coordenadas.coordinates[0],atencion[67].coordenadas.coordinates[1],atencion[68].coordenadas.coordinates[0],atencion[68].coordenadas.coordinates[1],atencion[69].coordenadas.coordinates[0],atencion[69].coordenadas.coordinates[1],atencion[70].coordenadas.coordinates[0],atencion[70].coordenadas.coordinates[1],atencion[71].coordenadas.coordinates[0],atencion[71].coordenadas.coordinates[1],atencion[72].coordenadas.coordinates[0],atencion[72].coordenadas.coordinates[1],atencion[73].coordenadas.coordinates[0],atencion[73].coordenadas.coordinates[1],atencion[74].coordenadas.coordinates[0],atencion[74].coordenadas.coordinates[1],atencion[75].coordenadas.coordinates[0],atencion[75].coordenadas.coordinates[1],atencion[76].coordenadas.coordinates[0],atencion[76].coordenadas.coordinates[1],atencion[77].coordenadas.coordinates[0],atencion[77].coordenadas.coordinates[1],atencion[78].coordenadas.coordinates[0],atencion[78].coordenadas.coordinates[1],atencion[79].coordenadas.coordinates[0],atencion[79].coordenadas.coordinates[1],atencion[80].coordenadas.coordinates[0],atencion[80].coordenadas.coordinates[1],atencion[81].coordenadas.coordinates[0],atencion[81].coordenadas.coordinates[1],atencion[82].coordenadas.coordinates[0],atencion[82].coordenadas.coordinates[1],atencion[83].coordenadas.coordinates[0],atencion[83].coordenadas.coordinates[1],atencion[84].coordenadas.coordinates[0],atencion[84].coordenadas.coordinates[1],atencion[0].municipio,atencion[1].municipio,atencion[2].municipio,atencion[3].municipio,atencion[4].municipio,atencion[5].municipio,atencion[6].municipio,atencion[7].municipio,atencion[8].municipio,atencion[9].municipio,atencion[10].municipio,atencion[11].municipio,atencion[12].municipio,atencion[13].municipio,atencion[14].municipio,atencion[15].municipio,atencion[16].municipio,atencion[17].municipio,atencion[18].municipio,atencion[19].municipio,atencion[20].municipio,atencion[21].municipio,atencion[22].municipio,atencion[23].municipio,atencion[24].municipio,atencion[25].municipio,atencion[26].municipio,atencion[27].municipio,atencion[28].municipio,atencion[29].municipio,atencion[30].municipio,atencion[31].municipio,atencion[32].municipio,atencion[33].municipio,atencion[34].municipio,atencion[35].municipio,atencion[36].municipio,atencion[37].municipio,atencion[38].municipio,atencion[39].municipio,atencion[40].municipio,atencion[41].municipio,atencion[42].municipio,atencion[43].municipio,atencion[44].municipio,atencion[45].municipio,atencion[46].municipio,atencion[47].municipio,atencion[48].municipio,atencion[49].municipio,atencion[50].municipio,atencion[51].municipio,atencion[52].municipio,atencion[53].municipio,atencion[54].municipio,atencion[55].municipio,atencion[56].municipio,atencion[57].municipio,atencion[58].municipio,atencion[59].municipio,atencion[60].municipio,atencion[61].municipio,atencion[62].municipio,atencion[63].municipio,atencion[64].municipio,atencion[65].municipio,atencion[66].municipio,atencion[67].municipio,atencion[68].municipio,atencion[69].municipio,atencion[70].municipio,atencion[71].municipio,atencion[72].municipio,atencion[73].municipio,atencion[74].municipio,atencion[75].municipio,atencion[76].municipio,atencion[77].municipio,atencion[78].municipio,atencion[79].municipio,atencion[80].municipio,atencion[81].municipio,atencion[82].municipio,atencion[83].municipio,atencion[84].municipio
Resellos de Permisos de Descarga de Agua Residual,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.74692,20.092088,-98.74692,20.092088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Determinación de los Derechos de Conexión para los Servicios de Agua Potable y Alcantarillado Sanitario, para Desarrollos Habitacionales.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.74692,20.092088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aclaración de Pago,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.74692,20.092088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle #104 Carlos Rovirosa 42082 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.782421,20.0747211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7412155,20.1154239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caja general del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.733639,20.12473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes  DIF Municipales.,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.733639,20.12473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Talleres, Pláticas y Conferencias sobre Habilidades de vida para Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Periodistas 42060 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.745623,20.115278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expedición de Constancias de No inhabilitación,Secretaría de Contraloría,Secretaría de Controlaría,Calle 301 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.776889,20.096888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centros de Desarrollo Comunitario Urbanos (CDC),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 600 Morelos 42040 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.744914,20.123949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renta de espacios culturales.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,Avenida S/N Centro 42040 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.74069723665174,20.122239701316232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acompañamiento, asistencia y seguimiento de proyectos de inversión",Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,Camino 305 Zona Plateada  42084 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.774774,20.096614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comercialización de prendas no desempeñadas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 104 El Palmar 42030 Pachuca De Soto Pachuca De Soto,Calle 102 Parque Urbano Pachoacan 42083 Pachuca De Soto Pachuca De Soto,Calle 110 Centro 43679 Tulancingo De Bravo Tulancingo De Bravo,Calle 3 Centro 42500 Actopan Actopan,Avenida 4 Nacozari 43800 Tizayuca Tizayuca,Calle 500 Centro 42000 Pachuca De Soto Pachuca De Soto,Avenida 169 La Providencia 42186 La Providencia Siglo XXI Mineral De La Reforma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.758238,20.115264,-98.778937,20.068658,-98.372185,20.07672,-98.943858,20.268604,-98.979312,19.838598,-98.731372,20.123828,-98.719522,20.055833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,Pachuca De Soto,Tulancingo De Bravo,Actopan,Tizayuca,Pachuca De Soto,Mineral De La Reforma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuela de Fútbol Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7412155,20.1154239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta externa de pediatría y especialidades en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.776566,20.078624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credencialización para Personas con Discapacidad Permanente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42088 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.774698,20.111838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apoyo con Estudios de gabinete, laboratorio y medicamentos ",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.733639,20.12473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoyo de Gastos Funerarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.733639,20.12473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pachuca De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
